feature,importance
MONTH,0.23056953879446346
CRS_DEP_TIME_std,0.14204297041116035
CRS_DEP_TIME_minmax,0.08945211454179501
encoded_airline_code_B6,0.08684052921710488
dep_hour_x_elapsed,0.08652246433505655
CRS_ARR_TIME_std,0.05680653395890921
CRS_ARR_TIME,0.055901206959887956
encoded_airline_code_WN,0.03729000453126191
DAY_OF_WEEK,0.02521005093145968
encoded_airline_code_DL,0.023902570742434834
DEST_label,0.020977605096167043
CRS_ARR_TIME_minmax,0.019751420253903314
encoded_airline_code_F9,0.018969996609517113
encoded_airline_code_G4,0.018821003555001825
ORIGIN_label,0.01710996936963265
encoded_airline_code_AA,0.016910906417030025
encoded_airline_code_AS,0.009233570339310018
DISTANCE,0.008365218684209672
encoded_airline_code_OO,0.007984606354120068
encoded_airline_code_EV,0.0050714210120066695
encoded_airline_code_YV,0.0042788682193292005
CRS_ELAPSED_TIME,0.003986663757583497
encoded_airline_code_9E,0.003760797020384204
encoded_airline_code_NK,0.002567950846009236
elapsed_x_distance,0.0024138114444423923
encoded_airline_code_YX,0.0019941546894670105
encoded_airline_code_HA,0.0013975118445616339
encoded_airline_code_QX,0.0008028254161596472
IS_RUSH_HOUR,0.0005510707187778112
IS_WEEKEND,0.0003319409423528099
encoded_airline_code_UA,9.14757381241959e-05
DEP_HOUR,8.922724837599581e-05
encoded_airline_code_MQ,0.0
encoded_airline_code_OH,0.0
